Name;Synonyms;Type
Abbuoto;Aboto, Cecubo;Red
Abouriou;Beaujolais, Early Burgunder, Early Burgundy, Gamay Beaujolais, Gamay du Rhône, Gamay St-Laurent, Malbec Argente Negret de la Canourgue, Noir Hatif, Plant Abouriou, Plant Précoce, Précoce Naugé, Précoce Noir, Pressac de Bourgogne;Red
Alexandroouli;Aleksandroouly, Aleksandrouli, Aleksandrouli shavi, Alexandreouli, Alexandreuli, Alexandroouli, Alexandrouly, Alexsandrouli, Kabistona, Kabistoni;Red
Akhasheni;Akhashenuli;Red
Abrusco;Abrostalo, Abrostine, Abrostino, Abrusco nero, Abrusco nero di toscana, Abrusio, Colore, Colorino;Red
Acolon;;Red
Ada Karasi;Adakarasi, Adakarassy, Avsa adasi, Avsa island, Balikesir, Erdek, Noir des iles;Red
Affenthaler;Affenthaler schwarzblau, Affenthaler blauer, Blauer affenthaler, Burgunder saeuerlich, Kleiner trollinger, Morillon aigret, Pineau aigret, Saeuerlicher burgunder, Schwarzblaue affenthaler, Trollinger klein;Red
Agiorgitiko;Aghiorghitico, Aghiorghitiko, Nemeas Mavro, Nemeas Mavroudi, StGeorge;Red
Aglianico;Aglianco di puglia, Aglianica, Aglianichella, Aglianichello, Aglianico amaro, Aglianico crni, Aglianico del vulture, Aglianico di castellaneta, Aglianico di taurasi, Aglianico femminile, Aglianico mascolino, Aglianico nero, Aglianico pannarano, Aglianico tringarulo, Aglianico zerpoluso, Aglianico zerpuloso, Aglianicuccia, Agliano, Agliatica, Agliatico, Agnanico, Agnanico di castellaneta, Alianiko, Cascavoglia, Cerasole, Ellanico, Ellenico, Fiano rosso, Fresella, Gagliano, Ghiandara, Ghianna, Ghiannara, Glianica, Gnanica, Gnanico, Granica, Granico, Olivella di san cosmo, Prie blanc, Ruopolo, Spriema, Tringarulo, Uva catellaneta, Uva dei cani, Uva di castellaneta, Uva nera;Red
Aglianicone;Aglianico bastardo, Aglianicone nero, Glianicone, Ruopolo;Red
Agni;;Red
Agronomica;;Red
Agua Santa;;Red
Aidani Mavro;Aedano mavro, Aidani noir, Aidano mavro, Ithani mavro, Mavraidano, Mayraedano, Santorin;Red
Aladasturi;Aladastouri, Anadassaouli, Anadassaouli femelle, Anadassaouli male, Anadastouri;Red
Albaranzeuli nero;;Red
Albarossa;Dalmasso, Incrocio dalmasso;Red
Aleatico;Aglianico nero, Agliano, Agliatico, Aleatiau, Aleatica, Aleatica di firenze, Aleatichina, Aleatico, Aleatico ceragino, Aleatico ciliegino, Aleatico comune, Aleatico de corse, Aleatico de florence, Aleatico de portoferraio, Aleatico de solmona, Aleatico dell'elba, Aleatico di altamura, Aleatico di benevento, Aleatico di firenze, Aleatico di portoferraio, Aleatico di sulmona, Aleatico di toscana, Aleatico gentile, Aleatico nera della toscana, Aleatico nero, Aleatico nero della toscana, Aleatico nero di fermo, Aleatico nero di firenze, Aleatico perugino, Aleaticonera, Aleaticu, Aleatiko, Aleatiko nero, Alegatico, Aliatico, Aliatico di benevento, Aliaticu, Alleaticu, Allianico, Allianico degli abruzzi, Blacan, Halapi, Ispanskii rozovyi, Lacrima christi, Lakrima dolche, Lakrima kriati, Leatico, Livatica, Mockatele livatike, Moscatele livatice, Moscatelle livatiche, Moscatello nero, Moscato nero, Moskatele livatike, Muscatellus, Muskat toskanski, Muskat toskanskij, Myuskatele livatike, Nero, Occhio di pernice, Occhio di pernice nera, Ogliatico, Pelaverde, Rossanella, Uva aleatica, Uva aleatico, Uva dei gesuiti, Uva liatica, Uva liatika, Vernaccia di pergola, Vernaccia moscatella;Red
Alexandroouli;Aleksandroouly, Aleksandrouli, Aleksandrouli shavi, Alexandreouli, Alexandreuli, Alexandroouli, Alexandrouly, Alexsandrouli, Kabistona, Kabistoni;Red
Alexander;Alexandria, Black cape, Black grape, Buck grape, Cape, Cape grape, Clifton's constantia, Clifton's lombardia, Columbian, Constantia, Farkers grape, Madeira of york, Rothrock, Rothrock of prince, Schuylkill, Schuylkill muscadel, Schuylkill muscadine, Springmill constantia, Tasker's grape, Vevay, Vevay winne, Winne, York lisbon;Red
Alfrocheiro;Albarin frances, Albarin negrin, Albarin negro, Albarin tinto, Albarinon, Alfrocheiro preto, Alfrucheiro, Alfurcheiro, Baboso negro, Bastardo negro, Brunal, Caino gordo, Tinta bastardinha, Tinta francesa de viseu, Tinta francisca de viseu, Tinto serodo;Red
Alicante Henri Bouschet;Alicant de pays, Alicante, Alicante bouchet, Alicante bouschet, Alicante bouschet crni, Alicante extra fertile, Alicante femminello, Alicanteh Bouschet, Alicante nero, Alicante noir, Alicantina, Alikant buse, Alikant, Buse bojadiser, Alikant bushe, Alikant bushe ekstrafertil, Alikant genri bushe, Alikante henri bouschet, Aragonais, Aragones, Arrenaou, Baga, Bakir uezuemue, Barvarica, Blasco, Bojadiserka, Carignan jaune, Cupper grape, Dalmatinka, Garnacha, Garnacha tintorera, Kambusa, Lhadoner, Moraton, Mouraton, Murviedro, Negral, Pe de perdiz, Pe de pombo, Petit bouschet, Redondal, Rivesaltes, Rivos altos, Roussillon, Rouvaillard, Sumo tinto, Tinta fina, Tinta francesa, Tinto, Tinto nero, Tinto velasco, Tintorera, Tintorera de liria, Tintorera de longares, Tinturao, Uva di spagna;Red
Allegro;Geisenheim;Red
Amaral;Amaral preto, Azal, Azal preto, Azal tinto, Azar, Cachon, Cainho bravo, Cainho miudo, Caino, Caino bravo, Caino tinto, Cainzinho, Sousao, Sousao galego;Red
Ancellotta;;Red
André;Andrea, Semenac;Red
Antey Magarachsky;Antei magarachskii, Antei, Antei magaracha, Antei magaratchsky, Antej magaratscha, Antey magarachskii, Magarach;Red
Aramon Noir;Amor Nao Me Deixes, Aramon, Aramon Chernyi, Aramon Crni, Aramon Negro, Aramon Noire, Aramon Pignat, Aramon Pigne, Aramon Rozovyi, Aramon Saint Joseph, Aramone, Aramonen, Aramont, Arramant, Arramont, Burchardt's Prince, Burckarti Prinz, Burkhardt, Eramoul, Eromoul, Gros Bouteillan, Kek Aramon, Pisse Vin, Plant Riche, Rabalaire, Ramonen, Reballaire, Reballayre, Revalaire, Revellaire, Ugni Neru, Ugni Nevu, Ugni Noir, Uni Negre, Uni Noir;Red
Areni;Areni sev, Areni chemyl, Areni chernyi, Areni noir, Areni tcheurny, Areny, Areny tcherny, Lyalai, Malagi, Malagui, Malahi noir, Malai sev, Malat, Malayi, Memeyi, Mialai, Milahi, Milai chernyi, Milai noir, Milaj sev, Milakhi, Movouz, Movuz, Myalai, Myalan, Ordoutchi sev, Ordoutzi sev, Ordutsi sev, Orduzi sev, Ourdoussi, Ourdusi, Ourza sev, Sev areni, Sev malahi, Urdusi, Ursa sev, Urza sev, Usza sev;Red
Argaman;;Red
Argant;Argan, Blaue Gansfuesser, Blauer Gansfuesser, Bockshorn, Buchser, Erlenbacher, Espagnol, Gaensefuessler, Gaensfuessel, Gaensfuesser, Gaensfuesser Blau, Gaensfuessler, Gansfyuser, Gros Margilien Espagnol, Gros Margillien, Gros Margillien Arbois, Grossrote, Margilien, Margillien, Margillin, Rouillot, Schwarzer Erlenbacher, Tokai Chernyi, Tokai Rannii;Red
Arinarnoa;;Red
Arinto de Bucelas;Arintho, Arinto Cachudo, Arinto Cercial, Arinto D'anadia, Arinto Galego, Asal Espanhol, Asal Galego, Assario Branco, Azal Espanhol, Azal Galego, Boal Cachudo, Branco Espanhol, Cerceal, Chapeludo, Malvasia Fina, Pe De Perdiz Branco, Pederna, Pedernao, Pedrena, Terrantez Da Terceira, Val De Arintho;Red
Arnsburger;Arns burguer, Arnsburguer, Geisenheim;Red
Arrouya;Arhuya, Aroyat, Arrouyat, Arroya, Arruya, Dourec Noir, Eremachaoua, Erematxahua, Rouja, Vieux Rouge;Red
Ashughaji;Achougage, Atpizh, Atpyuzh, Atriuzh, Atvige, Atvizh, Ashugazh;Red
Aspiran Bouschet;Aspiran Bouchet, Aspiran Bouson, Grand Noir De Laques, Spigamonti;Red
