Name,Type
abbuoto,Red
aboto,Red
cecubo,Red
abouriou,Red
beaujolais,Red
early burgunder,Red
early burgundy,Red
gamay beaujolais,Red
gamay du rhône,Red
gamay st-laurent,Red
malbec argente negret de la canourgue,Red
noir hatif,Red
plant abouriou,Red
plant précoce,Red
précoce naugé,Red
précoce noir,Red
pressac de bourgogne,Red
alexandroouli,Red
aleksandroouly,Red
aleksandrouli,Red
aleksandrouli shavi,Red
alexandreouli,Red
alexandreuli,Red
alexandroouli,Red
alexandrouly,Red
alexsandrouli,Red
kabistona,Red
kabistoni,Red
akhasheni,Red
akhashenuli,Red
abrusco,Red
abrostalo,Red
abrostine,Red
abrostino,Red
abrusco nero,Red
abrusco nero di toscana,Red
abrusio,Red
colore,Red
colorino,Red
acolon,Red
ada karasi,Red
adakarasi,Red
adakarassy,Red
avsa adasi,Red
avsa island,Red
balikesir,Red
erdek,Red
noir des iles,Red
affenthaler,Red
affenthaler schwarzblau,Red
affenthaler blauer,Red
blauer affenthaler,Red
burgunder saeuerlich,Red
kleiner trollinger,Red
morillon aigret,Red
pineau aigret,Red
saeuerlicher burgunder,Red
schwarzblaue affenthaler,Red
trollinger klein,Red
agiorgitiko,Red
aghiorghitico,Red
aghiorghitiko,Red
nemeas mavro,Red
nemeas mavroudi,Red
stgeorge,Red
aglianico,Red
aglianco di puglia,Red
aglianica,Red
aglianichella,Red
aglianichello,Red
aglianico amaro,Red
aglianico crni,Red
aglianico del vulture,Red
aglianico di castellaneta,Red
aglianico di taurasi,Red
aglianico femminile,Red
aglianico mascolino,Red
aglianico nero,Red
aglianico pannarano,Red
aglianico tringarulo,Red
aglianico zerpoluso,Red
aglianico zerpuloso,Red
aglianicuccia,Red
agliano,Red
agliatica,Red
agliatico,Red
agnanico,Red
agnanico di castellaneta,Red
alianiko,Red
cascavoglia,Red
cerasole,Red
ellanico,Red
ellenico,Red
fiano rosso,Red
fresella,Red
gagliano,Red
ghiandara,Red
ghianna,Red
ghiannara,Red
glianica,Red
gnanica,Red
gnanico,Red
granica,Red
granico,Red
olivella di san cosmo,Red
prie blanc,Red
