"Title","Size","Aisle","Price"
"Aquarelle Aquarelle Rose of Grenache","750 ml.","Wine-16A","12.99"
"Green Rows Willamette Valley Rose of Pinot Noir","750 ml.","Wine-16A","15.99"
"Artea Rose","750 ml.","19A","7.99"
"Josh Cellars Cabernet Sauvignon","750 ml.","Wine-16A","11.99"
"Kendall-Jackson Kendall Jackson Vintner's Reserve Chardonnay","750 ml.","Wine Shop","11.99"
"Conti Torraiolo Sangiovese","750 ml.","Wine-19A","6.99"
"La Marca Prosecco, NV","750 ml.","Wine-18A","12.49"
"Apothic Red","750 ml.","Wine-16A","8.49"
"Cole Cellars Cabernet Sauvignon","750 ml.","Wine-16A","9.99"
"The Path The Path Cabernet Sauvignon","750 ml.","Wine-16A","6.99"
"Le Altane Pinot Grigio","750 ml.","Wine-19A","6.99"
"The Path The Path Pinot Noir","750 ml.","Wine-16A","6.99"
"Parini Prosecco Brut, NV","750 ml.","Wine-18A","9.99"
"Oyster Bay Sauvignon Blanc","750 ml.","Wine-19A","10.99"
"From the Farm Red Sangria","750 ml.","Wine-19A","6.99"
"Meiomi Pinot Noir","750 ml.","Wine-16A","18.99"
"Cavit Pinot Grigio","1.5 liter","Wine-19A","11.99"
"Confidencial Reserva","750 ml.","Wine-19A","9.99"
"The Path The Path Chardonnay","750 ml.","Wine Shop","6.99"
"Kiwigold Sauvignon Blanc","750 ml.","Wine-19A","9.99"
"J Lohr 7 Oaks Cabernet Sauvignon","750 ml.","Wine-16A","13.99"
"Famiglie Pinot Grigio","750 ml.","Wine-19A","9.99"
"Conti Torraiolo Chardonnay Trebbiano","750 ml.","Wine-19A","6.99"
"From The Farm White Sangria","750 ml.","Wine-19A","6.99"
"Matua Sauvignon Blanc","750 ml.","Wine-19A","8.99"
"Torraiolo Super Toscana","750 ml.","Wine-19A","9.99"
"El Molino Bodegas Molino Malbec","750 ml.","Wine-17A","6.99"
"Alamos Malbec","750 ml.","Wine-17A","7.99"
"Le Altane Montepulciano d'Abruzzo","750 ml.","Wine-19A","6.99"
"Black Box Wines Black Box Cabernet Sauvignon","3 liter","Wine-18A","16.99"
"The Path The Path Rose","750 ml.","Wine-16A","6.00"
"Paxis Red Blend","750 ml.","Wine-19A","7.49"
"Josh Cellars Chardonnay","750 ml.","Wine Shop","10.99"
"Panul Sauvignon Blanc","750 ml.","Wine-17A","6.99"
"Robert Mondavi Robert Mondavi Private Selection Bourbon Barrel Cabernet Sauvignon","750 ml.","Wine-16A","9.79"
"Nobilo Sauvignon Blanc","750 ml.","Wine-19A","7.99"
"Mimi en Provence Vielles Vignes Rose","750 ml.","19A","15.99"
"Ballard Road Pinot Noir Rose","750 ml.","Wine-16A","10.99"
"Liebe Riesling","750 ml.","Wine-19A","6.99"
"Bogle Chardonnay","750 ml.","Wine Shop","7.99"
"Hectic Sauvignon Blanc","750 ml.","Wine-19A","12.99"
"The Path The Path Merlot","750 ml.","Wine-16A","6.99"
"Chateauvieux Rose D'Anjou","750 ml.","19A","9.99"
"Espeto Verdejo Vino De La Tierra De Castilla","750 ml.","Wine-19A","6.99"
"Woodbridge Chardonnay","1.5 liter","Wine Shop","9.49"
"Ecco Domani Pinot Grigio","750 ml.","Wine-19A","9.99"
"Casa Santos Lima Red Blend","750 ml.","Wine-19A","8.99"
"Que Vida Vinho Tinto","750 ml.","Wine-19A","6.99"
"Cupcake Prosecco, NV","750 ml.","Wine-18A","8.49"
"J Lohr Riverstone Chardonnay","750 ml.","Wine Shop","10.99"
"Cape Originals Chenin Blanc Grenache Blanc","750 ml.","Wine-19A","6.99"
"Bogle Essential Red","750 ml.","Wine-16A","7.99"
"Black Box Wines Black Box Chardonnay","3 liter","Wine-18A","16.99"
"D'Esclans Whispering Angel Rose","750 ml.","19A","17.99"
"The Homestead Collection Cabernet Sauvignon","750 ml.","Wine-16A","13.49"
"Santa Margherita Alto Pinot Grigio","750 ml.","Wine-19A","18.99"
